"filename", "language", "CSS", "HTML", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\package-lock.json", "JSON", 0, 0, 0, 2434, 0, 1, 2435
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\package.json", "JSON", 0, 0, 0, 23, 0, 1, 24
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\release-builds\Seguimiento-win32-ia32\LICENSES.chromium.html", "HTML", 0, 71304, 0, 0, 0, 15053, 86357
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\release-builds\Seguimiento-win32-ia32\vk_swiftshader_icd.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\database.js", "JavaScript", 0, 0, 11, 0, 1, 5, 17
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\index.js", "JavaScript", 0, 0, 6, 0, 0, 3, 9
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\main.js", "JavaScript", 0, 0, 672, 0, 10, 216, 898
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Bolsas\appBolsas.js", "JavaScript", 0, 0, 113, 0, 3, 63, 179
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Bolsas\bolsas.html", "HTML", 0, 41, 0, 0, 0, 10, 51
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Bolsas\estilosBolsas.css", "CSS", 489, 0, 0, 0, 1, 78, 568
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Clientes\Estilosclientes.css", "CSS", 354, 0, 0, 0, 0, 125, 479
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Clientes\appClientes.js", "JavaScript", 0, 0, 173, 0, 50, 60, 283
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Clientes\clientes.html", "HTML", 0, 37, 0, 0, 0, 6, 43
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Datos\Estilosdatos.css", "CSS", 421, 0, 0, 0, 0, 71, 492
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Datos\appDatos.js", "JavaScript", 0, 0, 147, 0, 6, 59, 212
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Datos\datos.html", "HTML", 0, 78, 0, 0, 0, 24, 102
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Historial\Estiloshistorial.css", "CSS", 261, 0, 0, 0, 4, 52, 317
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Historial\appHistorial.js", "JavaScript", 0, 0, 116, 0, 4, 39, 159
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Historial\historial.html", "HTML", 0, 40, 0, 0, 0, 8, 48
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Seguimiento\Estilosseguimiento.css", "CSS", 187, 0, 0, 0, 0, 30, 217
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Seguimiento\appSeguimiento.js", "JavaScript", 0, 0, 325, 0, 0, 75, 400
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Seguimiento\seguimiento.html", "HTML", 0, 31, 0, 0, 0, 8, 39
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Venta\Estilosventa.css", "CSS", 496, 0, 0, 0, 4, 130, 630
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Venta\appVenta.js", "JavaScript", 0, 0, 509, 0, 16, 271, 796
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Venta\venta.html", "HTML", 0, 47, 0, 0, 0, 18, 65
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\agregarCliente\agregarCliente.css", "CSS", 214, 0, 0, 0, 0, 32, 246
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\agregarCliente\agregarCliente.html", "HTML", 0, 43, 0, 0, 0, 13, 56
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\agregarCliente\agregarCliente.js", "JavaScript", 0, 0, 393, 0, 7, 121, 521
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\bootstrap.min.css", "CSS", 3, 0, 0, 0, 9, 0, 12
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\editarBolsa\editarBolsa.css", "CSS", 164, 0, 0, 0, 0, 33, 197
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\editarBolsa\editarBolsa.html", "HTML", 0, 47, 0, 0, 0, 18, 65
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\editarBolsa\editarBolsa.js", "JavaScript", 0, 0, 230, 0, 3, 116, 349
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\editarCliente\editarCliente.css", "CSS", 187, 0, 0, 0, 0, 29, 216
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\editarCliente\editarCliente.html", "HTML", 0, 68, 0, 0, 0, 4, 72
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\editarCliente\editarCliente.js", "JavaScript", 0, 0, 252, 0, 4, 83, 339
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\historialPersona\EstiloshistorialPersona.css", "CSS", 341, 0, 0, 0, 0, 64, 405
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\historialPersona\appHistorialPersona.js", "JavaScript", 0, 0, 297, 0, 181, 144, 622
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\historialPersona\historialPersona.html", "HTML", 0, 44, 0, 0, 0, 18, 62
"Total", "-", 3117, 71780, 3244, 2458, 303, 17081, 97983